Timestamp (s), Slip Angle (deg)
9.633333, -12.301328
9.666667, -4.964247
9.700000, -7.014427
9.733333, -10.106392
9.766667, -7.125827
9.800000, -2.242869
9.833333, -3.369602
9.866667, -17.382862
9.900000, -13.022295
9.933333, -2.472992
9.966667, -10.759471
10.000000, -7.802239
10.033333, -2.052799
10.066667, -6.809944
10.100000, -3.171527
10.133333, -3.896827
10.166667, -4.288133
10.200000, 0.608331
10.233333, 1.929333
10.266667, -3.620282
10.300000, -2.824487
10.333333, -9.383967
10.366667, -0.479330
10.400000, -7.629312
10.433333, -2.950666
10.466667, -8.902504
10.500000, 0.442606
10.533333, -7.413406
10.566667, -4.813917
10.600000, -5.840592
10.633333, -0.291049
10.666667, -4.421338
10.700000, -3.076907
10.733333, -4.247651
10.766667, -1.091895
10.800000, -6.912588
10.833333, -4.620495
10.866667, 1.864191
10.900000, -4.313216
10.933333, -6.435996
10.966667, -0.931990
11.000000, -14.019052
11.033333, -9.155832
11.066667, -5.987000
11.100000, -8.688963
11.133333, -0.222985
11.166667, -4.071988
11.200000, 5.478473
11.233333, -1.476208
11.266667, 8.002460
11.300000, 2.293377
11.333333, -8.055666
11.366667, -9.650607
11.400000, -0.025660
11.433333, -1.334518
11.466667, -15.722519
11.500000, -1.257895
11.533333, -13.000147
11.566667, -6.568525
11.600000, -12.531234
11.633333, -8.523690
11.666667, 2.696181
11.700000, -7.535983
11.733333, -6.926663
11.766667, -10.964016
11.800000, -8.069094
11.833333, -7.906189
11.866667, -10.967653
11.900000, -8.409071
11.933333, -9.957916
11.966667, -4.238797
12.000000, -7.936163
12.033333, -2.317802
12.066667, -10.966293
12.100000, -9.228417
12.133333, -11.432325
12.166667, -13.762260
12.200000, -3.366366
12.233333, -18.078199
12.266667, -6.989555
12.300000, -13.025025
12.333333, -4.100996
12.366667, -3.754697
12.400000, -3.426816
12.433333, -3.645478
12.466667, -11.030920
12.500000, -5.599385
12.533333, -2.746286
12.566667, -4.379351
12.600000, -15.071739
12.633333, -12.209647
12.666667, -9.333652
12.700000, -13.474463
12.733333, -4.558639
12.766667, -7.646295
12.800000, -5.191601
12.833333, 0.170228
12.866667, -5.216929
12.900000, -10.011679
12.933333, -7.616290
12.966667, -14.510445
13.000000, -4.542728
13.033333, 5.932975
13.066667, -0.779253
13.100000, -13.060557
13.133333, -8.936874
13.166667, -13.929931
13.200000, -12.922079
13.233333, 1.339226
13.266667, -1.862532
13.300000, -10.779474
13.333333, 4.769691
13.366667, -8.553669
13.400000, -7.592773
13.433333, -2.114432
13.466667, -20.405205
13.500000, 0.870094
13.533333, -4.717264
13.566667, -5.017565
13.600000, -6.595882
13.633333, -1.690426
13.666667, -4.374176
13.700000, -3.561039
13.733333, -4.995360
13.766667, 7.714930
13.800000, 3.150367
13.833333, -5.557884
13.866667, -7.360027
13.900000, -7.524077
13.933333, -3.487882
13.966667, -9.315880
14.000000, -19.372793
